A1,A2,A4,A6,A8
Ceon,Matthew,870,FULTON,71838
Radomir,Foret,660,KANSAS CITY,64168
Gerbert,Mashey,308,SAINT EDWARD,68660
Tuyan,Facello,240,SANDY SPRING,20860
Shawna,Vosburgh,401,PROVIDENCE,2918
Jongho,Schrift,775,WASHOE VALLEY,89704
Brent,O'Young,434,MC LEAN,22108
Evangeline,Pecuchet,330,FARMERSVILLE,45325
Oya,Zuiderveld,907,ANCHORAGE,99511
Teofilo,Rajamony,904,SAINT AUGUSTINE,32086
Calogero,Terenzi,757,KING AND QUEEN COURT HOUSE,23085
Iasson,Frolund,775,NORTH LAS VEGAS,89033
Cho,Herlea,304,CHARLESTON,25392
Corentin,Friman,574,INDIANAPOLIS,46205
Ahvin,Klement,217,CLAYTONVILLE,60926
Yuka,Chown,505,CORDOVA,87523
Khaled,Oxenboll,808,HONOLULU,96801
Antanas,Kishida,302,WILMINGTON,19885
Antonios,Kaltofen,501,CHIDESTER,71726
Gustav,Seidewitz,540,CASCADE,24069
Errol,Danielsson,972,ROUND TOP,78954
Rudy,Kroeker,408,DOUGLAS FLAT,95229
Minnie,Spiro,662,STEENS,39766
Monish,Tuomenoksa,860,TOLLAND,6084
Yihua,Sykas,970,GREEN MOUNTAIN FALLS,80819
Giulio,Torelli,520,PHOENIX,85033
Pierluigi,Siochi,660,SKIDMORE,64487
Shin'ya,Punnen,828,OTTO,28763
Camino,Bartschi,260,WINDFALL,46076
Wee,Friedland,256,BIRMINGHAM,35278
Mang,Bergin,912,POWDER SPRINGS,30127
Ruiz,Shnaider,623,PHOENIX,85096
Bernard,Paleologo,808,EWA BEACH,96706
Rieko,Zockler,603,RYE,3870
Baiju,Rubsam,319,UNION,50258
Kewal,Carchiolo,804,ROANOKE,24027
ChengFu,Clares,702,NORTH LAS VEGAS,89033
Ian,Piramuthu,901,NASHVILLE,37204
Qui,Halker,304,GAP MILLS,24941
Burkhard,Babai,207,WALLAGRASS,4781
Aruna,Berger,843,BEAUFORT,29901
Rumen,Chilukuri,906,DANSVILLE,48819
Gert,Vrckovnik,202,WASHINGTON,20235
Lilin,Dar,201,OXFORD,7863
Jarno,Messabih,201,HOLMDEL,7733
Jared,Martschew,308,VALPARAISO,68065
Seungjae,Middelburg,732,BELVIDERE,7823
Minshine,Penniman,801,HEBER CITY,84032
IlYoung,Abbasi,614,COLUMBUS,43212
Yuxi,Jostes,802,CUTTINGSVILLE,5738
Yutaka,Kroon,801,OGDEN,84412
Sanjiva,Halpin,207,SPRINGFIELD,4487
Tzusheng,Poletto,302,FRANKFORD,19945
Katsuyuki,Azumi,551,BROADWAY,8808
Genta,Beck,406,DEER LODGE,59722
Nora,Gurzhiv,608,LA POINTE,54850
Golden,Range,769,LUCEDALE,39452
Mathai,Bub,208,COEUR D ALENE,83815
Barrett,Gonzalez,775,GABBS,89409
Gully,Broll,781,NEW BEDFORD,2742
Zeydy,Erde,219,HYMERA,47855
Giansalvatore,Nagahisa,307,BYRON,82412
Jonny,Waterhouse,989,DETROIT,48209
Rujith,Hagmann,308,WAVERLY,68462
Adrianus,Abell,856,JERSEY CITY,7395
Guri,Montalbano,508,SOMERSET,2725
Mustafa,Vafaie,878,GARNET VALLEY,19060
Surendranath,Kavi,302,DOVER AFB,19902
Ivor,Peron,479,DOLPH,72528
Kwangjo,Proietti,787,SAN JUAN,901
Zoubir,Koppstein,907,SHISHMAREF,99772
Dang,Kruck,602,TEMPE,85280
Wenjian,Aberg,484,ERIE,16533
Rongyao,Ghalwash,814,COCHRANTON,16314
Keyun,Peuto,701,SAINT THOMAS,58276
Tjahjadi,Bruni,240,POTOMAC,20859
Georgia,McKinney,520,PHOENIX,85040
Zdravko,Windeknecht,918,BARTLESVILLE,74006
Abhijit,Heckerman,620,OXFORD,67119
Gilberto,Rety,702,DAYTON,89403
Belen,Velardi,971,GRAND RONDE,97347
Plamena,Landy,856,PARK RIDGE,7656
Rogardt,Kruys,719,HARTMAN,81043
Kishor,Hasteer,432,ABERNATHY,79311
Jerrold,MacLeod,907,ANCHORAGE,99514
Sarangan,Nascimento,830,HOUSTON,77244
Pitro,Stary,787,QUEBRADILLAS,678
Kevin,Geske,307,NATRONA,82646
Andry,Fabrizio,337,WATERPROOF,71375
Mohsin,Claudson,702,RENO,89506
Zvezdan,Kadakuntla,630,MERNA,61758
Elfriede,Androutsos,412,PITTSBURGH,15215
Yinong,Beug,402,LINCOLN,68520
Siddhartha,Staab,219,NEW MARKET,47965
Ramjee,Pitteway,971,AGNESS,97406
Xuefei,Wadge,978,SAGAMORE BEACH,2562
Hongchi,Coyle,641,CINCINNATI,52549
Bienvenido,Ananiadou,802,STARKSBORO,5487
Topher,Faria,623,SAN LUIS,85349
Khaled,Pargas,913,CHASE,67524
Sreerama,Tibblin,219,INDIANAPOLIS,46241
Kazuyoshi,McCallum,406,PRYOR,59066
Chacko,Forier,563,DES MOINES,50396
Sentot,Cantu,939,SAN JUAN,908
Caterina,Vanwelkenhuysen,717,NEW CASTLE,16105
Andi,Aimeur,562,PORTOLA,96122
Xingong,Masada,205,SAINT ELMO,36568
Dafna,Rackoff,601,LAKESHORE,39558
Yasmin,Qutaishat,251,HOLY TRINITY,36859
Zita,Schaap,907,TYONEK,99682
Vernon,Meyers,720,FRANKTOWN,80116
Honghua,Cosette,432,MIDLAND,79710
Leaf,Elustondo,406,JORDAN,59337
Jayavel,Woeginger,507,LENGBY,56651
Chiaki,Klusik,605,GETTYSBURG,57442
Chawki,Praus,505,ALBUQUERQUE,87196
Mahadev,Uzun,308,PHILLIPS,68865
Luming,Woerkom,406,CLYDE PARK,59018
Krister,Winstone,337,HESTER,70743
Stasys,Wendel,941,COPELAND,34137
Charly,Poswig,609,SPOTSWOOD,8884
Shelley,Spork,202,WASHINGTON,20394
Hariolf,Apostopopoulos,785,HOYT,66440
Gabriella,Vinck,931,HORNSBY,38044
Rachida,Krupp,907,BARROW,99723
Akiyoshi,Groz,605,GOODWIN,57238
Robi,Champarnaud,931,TRIMBLE,38259
Boo,Philippou,208,DINGLE,83233
Jos,Koszlajda,785,GREEN,67447
Corin,Perly,785,TOPEKA,66652
Rollins,Stellhorn,307,CHEYENNE,82001
Lipo,Drashansky,320,MINNEAPOLIS,55420
Shyamsundar,MacLeod,978,LEEDS,1053
Thirumalai,Mackenzie,224,WOOD DALE,60191
Kawon,Magnusson,719,U S A F ACADEMY,80841
Tsong,Hirzer,304,DAILEY,26259
Jiong,Bocic,602,TUCSON,85710
Osni,Sreerama,203,EAST CANAAN,6024
Lesley,Elphick,314,CANALOU,63828
Luigia,Gaubert,304,RAYSAL,24879
Guanghui,Hettich,304,HARMAN,26270
Taizo,Kouzes,229,MARIETTA,30063
Zhiliang,Flick,864,ANDERSON,29623
Ned,Staiger,865,CHATTANOOGA,37419
Sunondo,Beregi,808,HONOLULU,96815
Tomonobu,Junnemann,240,HUGHESVILLE,20637
Sonny,Ecklund,308,WAUSA,68786
Kazutoshi,Banach,386,TAMPA,33629
Calton,Takagi,301,PORT TOBACCO,20677
Olav,Millo,208,MURRAY,83874
Samir,Zueger,323,LITTLE RIVER,95456
Aruna,Parson,908,WINSLOW,8095
Soumen,Boissier,405,THACKERVILLE,73459
Raffi,McKibbon,816,JEFFERSON CITY,65111
Taoufik,Rice,812,DYER,46311
Xiaobin,Bean,805,TEMECULA,92593
Alyson,Dayhoff,248,PENTWATER,49449
Stijn,Groenboom,605,SIOUX FALLS,57194
Haiyong,Rafter,936,EL PASO,79923
Amokrane,Barbuti,603,NORTH SUTTON,3260
Healfdene,Sylvan,870,TRASKWOOD,72167
Sadashiva,Minka,763,TWIN LAKES,56089
Aliasghar,Ezer,660,KANSAS CITY,64166
Margus,Hillyard,307,GLENROCK,82637
Guttorm,Pier,347,FARMERSVILLE STATION,14060
Rosangela,Beretta,971,BAY CITY,97107
Kagan,Wechsung,703,RICHARDSVILLE,22736
Giopi,Zimmermann,541,MARCOLA,97454
Matthias,Uemori,515,ROCKWELL CITY,50579
Asat,Lahire,505,TRUCHAS,87578
Feixiong,Moursund,931,GRIMSLEY,38565
Kumpati,Chelegatski,602,PHOENIX,85074
Frantisek,Altman,610,DELTA,17314
Shumeet,Peres,971,GRANTS PASS,97528
Kahlil,Abb,614,WICKLIFFE,44092
Vaagan,Mihail,775,MOUNTAIN CITY,89831
Alanoly,Antin,623,MESA,85205
Krishnan,Joersz,615,LONE MOUNTAIN,37773
Hla,Gerla,704,WAXHAW,28173
Tasuya,Zrehen,606,CALVERT CITY,42029
Leighton,Hillsberg,205,LOCUST FORK,35097
Dariu,Bergsten,360,FORD,99013
Udi,Ingolfsdottir,859,HAWESVILLE,42348
Guoqiang,Caneve,918,OKLAHOMA CITY,73124
Selim,Karcich,217,IROQUOIS,60945
Brook,Rauma,503,PORTLAND,97219
Florina,Good,860,ROCKY HILL,6067
Alec,Carrera,505,ALBUQUERQUE,87184
Baoquan,Cedeno,308,MALCOLM,68402
Xiangzhen,Neighbors,802,SHAFTSBURY,5262
Arco,Leeser,808,KANEOHE,96744
Wesley,Mutch,928,AJO,85321
Herward,Ulich,307,WORLAND,82401
Yoshiharu,Sheridan,410,LAUREL,20708
Seichi,Kirtane,308,GREELEY,68842
Josette,Mehrmann,603,HAMPSTEAD,3841
Chenghui,Nykanen,276,ETLAN,22719
Akhilish,Callaway,580,VINSON,73571
Ajit,Priol,319,JOLLEY,50551
Thoshiaki,Weusten,325,WARING,78074
Talel,Lubiw,870,HICKORY RIDGE,72347
Weikang,Heckmann,304,FAIRMONT,26555
Jinwoo,Bloedorn,858,WILMINGTON,90748
Watts,Begg,320,JENKINS,56456
Gurmeet,Luit,571,HAMILTON,20159
Haruhiko,Don,802,ROCHESTER,5767
Anil,Dunne,308,MC COOL JUNCTION,68401
Syunsuke,Wurman,786,SARASOTA,34232
Oskari,Snelgrove,435,SALT LAKE CITY,84145
Heeseok,Sadowski,760,CLOVERDALE,95425
Yosihisa,Bittan,719,HUDSON,80642
Taisuke,Hiromitsu,786,GULF HAMMOCK,32639
Vaughn,Bitan,801,SALT LAKE CITY,84165
Hemant,Riza,302,NEWARK,19716
Inderpal,Aigrain,202,WASHINGTON,20572
Jang,Arizio,865,NASHVILLE,37201
Bay,Khouja,276,ARLINGTON,22245
Peggy,Noack,920,COLBY,54421
Harriett,Manago,732,WASHINGTON,7882
Tarak,Yagawa,605,HURON,57399
Sungho,Suzaki,712,FARNHAMVILLE,50538
Sofiene,Yeun,947,PORTAGE,49002
Guohua,Akselsen,504,MONROE,71209
Dewayne,Lamont,513,HARLEM SPRINGS,44631
Atam,Calabrese,410,FAIRPLAY,21733
Hui,Gragg,603,LOUDON,3307
Mohammad,Labarthe,724,CROYDON,19021
Donn,Schahn,406,ANTELOPE,59211
Rinat,McKinnon,740,TOLEDO,43659
Younggeun,Krichel,830,ENCINAL,78019
Alec,Cassaro,435,NORTH SALT LAKE,84054
Theodoros,Gladman,205,MARION JUNCTION,36759
Lihong,Hosaka,702,GABBS,89409
Tatyana,Gracco,307,ELK MOUNTAIN,82324
Panagiotis,Kayser,920,ORFORDVILLE,53576
Wing,Gose,605,GANN VALLEY,57341
Jianwen,Walrath,860,WEATOGUE,6089
Toshimo,Swick,901,ALAMO,38001
Doowon,Guckenheimer,931,SPENCER,38585
Falko,Doushou,252,CHARLOTTE,28209
Nava,Tassinari,808,KAPOLEI,96709
Tanka,Soleimanipour,316,OPOLIS,66760
Jusung,Zimowski,304,SIMPSON,26435
Marisela,Gyseghem,505,GRADY,88120
Miguel,Kiesel,845,SPEONK,11972
Limsoon,Dorchak,651,COMFREY,56019
LuoQuan,Nakhaeizadeh,651,MINNEAPOLIS,55424
Jermy,Broomell,308,BELLEVUE,68123
Wenguang,Paillier,406,MELSTONE,59054
Annya,Llado,775,DEETH,89823
Aurobindo,England,207,MONTICELLO,4760
