A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
Estrella,Bertilsson,F,406,346-4682,GREAT FALLS,MT,59401,S,N,90000,6.9,1900,0,0
Tomonari,Yeap,M,434,983-5738,DOLPHIN,VA,23843,M,Y,70000,5.75,0,1800,900
Alvaro,Rivard,M,408,405-9244,ALHAMBRA,CA,91841,S,Y,100000,9.3,87,0,272
Neville,Trivett,F,443,939-6008,BETHESDA,MD,20816,S,Y,70000,4.75,2400,0,2400
Serban,Melzak,F,208,298-6872,PINEHURST,ID,83850,S,N,65000,7.8,3300,0,0
Farzan,Knowles,M,808,345-8649,HONOLULU,HI,96810,S,N,60000,8.25,1040,0,0
Fredric,Petry,M,478,930-7660,GRAYSON,GA,30017,S,N,65000,6.0,2700,0,0
Timm,Bhagavathi,M,337,174-9635,BATON ROUGE,LA,70891,M,Y,100000,6.0,0,9000,1000
Lynnau,Jarzabek,M,865,464-9868,BROWNSVILLE,TN,38012,S,N,40000,0.0,0,0,0
Etsuko,d'Inverno,M,618,969-5285,MOUND CITY,IL,62963,M,N,30000,3.0,0,4000,0
Nate,Koshkin,M,505,978-8287,DEMING,NM,88030,M,N,10000,3.2428572,0,6600,0
Jolita,Can,M,843,596-1844,GABLE,SC,29051,S,N,25000,7.0,3300,0,0
Blagovest,Heemskerk,M,870,173-5525,MALVERN,AR,72104,S,Y,15000,3.773037,20,0,20
Andris,Gammill,F,256,156-5986,BRANTLEY,AL,36009,S,N,10000,5.0,1500,0,0
Xiaopeng,Cheiner,F,910,537-5160,RALEIGH,NC,27690,M,N,20000,6.1520977,0,6600,0
Burkhard,Ballin,F,209,291-9116,LOS ANGELES,CA,90068,S,N,100000,9.3,87,0,0
Sachio,Franzblau,F,309,298-8689,HARDIN,IL,62047,S,Y,95000,3.0,2000,0,2000
Yucai,Leonidas,M,307,671-7685,AUBURN,WY,83111,S,Y,35000,0.0,0,0,0
Meltem,Osterloh,M,202,144-4863,WASHINGTON,DC,20539,S,N,95000,9.0,1370,0,0
Hiroki,Winters,F,205,462-8357,VANDIVER,AL,35176,S,Y,80000,5.0,1500,0,300
Soojung,Breuker,M,920,378-6942,GREEN BAY,WI,54303,M,Y,15000,4.707031,0,1400,400
JoAnne,Bergstra,F,857,981-2818,NATICK,MA,1760,M,N,35000,5.3,0,7150,0
Thoms,Ebeling,F,216,896-3824,BLISSFIELD,OH,43805,S,N,95000,3.6995387,1300,0,0
Yigal,Krabbel,M,765,213-2549,CLAYTON,IN,46118,S,N,65000,3.4,1000,0,0
Rosalyn,Pinckney,M,781,527-2356,SALEM,MA,1971,M,Y,80000,5.3,0,7150,1000
Zhibin,Peterka,F,715,166-2135,MILWAUKEE,WI,53244,S,N,50000,5.3151608,700,0,0
Keshab,Kubera,M,708,359-8771,FOX VALLEY,IL,60599,S,Y,90000,3.0,2000,0,2000
Ragui,Shokrollahi,M,201,713-7145,MILLSTONE TOWNSHIP,NJ,8535,S,Y,5000,1.4,1000,0,1500
Felicity,Latyshev,F,307,133-1064,CHEYENNE,WY,82009,M,N,85000,0.0,0,0,0
Heng,Pelz,M,312,333-1255,REDDICK,IL,60961,S,Y,5000,3.0,2000,0,2000
Xiaowei,Michalakopoulos,F,605,153-5365,MANDERSON,SD,57756,M,N,5000,0.0,0,0,0
Houari,Zaimov,F,443,394-9085,SPENCERVILLE,MD,20868,S,Y,40000,4.75,2400,0,2400
Teresemarie,Aso,M,401,686-2628,WESTERLY,RI,2891,S,Y,60000,0.0,0,0,0
Milvio,Cippico,M,207,378-4165,AUGUSTA,ME,4336,S,Y,20000,8.5,2850,0,2850
Surapant,Bail,M,864,547-2497,CORDOVA,SC,29039,S,Y,15000,7.0,3300,0,3300
Constantine,Nitsch,F,719,183-3382,PENROSE,CO,81240,S,N,75000,4.63,0,0,0
Kyosun,Dahlhaus,F,435,767-4129,SALT LAKE CITY,UT,84133,M,N,30000,7.0,0,4950,0
Keiji,Kennamer,F,870,423-1116,LUXORA,AR,72358,S,Y,70000,7.0,20,0,20
Angkul,Hamrick,F,318,475-8528,METAIRIE,LA,70006,S,Y,35000,6.0,4500,0,1000
Pui,Stenstrom,M,937,440-9174,COLUMBUS,OH,43209,M,N,90000,3.533564,0,2600,0
Wilmer,Brizzi,F,973,170-6348,HACKENSACK,NJ,7601,S,N,10000,1.4,1000,0,0
Keju,Obradovich,F,828,874-7542,ROCKY MOUNT,NC,27801,M,N,45000,6.6765733,0,6600,0
Mei,Brolio,F,347,631-2873,DEANSBORO,NY,13328,S,N,100000,4.5329266,0,0,0
Daan,Givens,M,308,787-2479,BELLEVUE,NE,68123,M,Y,20000,5.685643,0,206,103
Kuhanandha,Strothotte,M,325,821-4378,TOW,TX,78672,S,Y,20000,0.0,0,0,0
Sukhmay,Kaio,M,505,467-9996,LOS LUNAS,NM,87031,M,N,65000,5.3,0,6600,0
Joacheim,Goodby,M,605,240-9915,WESTPORT,SD,57481,M,Y,20000,0.0,0,0,0
Irith,Cestnik,M,308,162-8455,WESTON,NE,68070,S,Y,50000,6.84,103,0,103
Liao,Viehstaedt,M,920,713-4471,IRON BELT,WI,54536,S,Y,55000,5.4020367,700,0,400
Rang,Fordan,M,605,302-3147,MILESVILLE,SD,57553,S,Y,55000,0.0,0,0,0
Hidetsune,McAffer,M,605,808-3276,MURDO,SD,57559,S,N,75000,0.0,0,0,0
Giorgio,Aue,M,812,529-5445,INDIANAPOLIS,IN,46291,M,Y,65000,3.4,0,2000,1000
Vinod,Olano,F,701,557-5034,MICHIGAN,ND,58259,M,N,10000,2.1,0,6600,0
Wassili,Marinissen,F,970,876-4713,CRESTED BUTTE,CO,81224,M,N,55000,4.63,0,0,0
Zinovy,Simovich,M,301,605-3763,DARLINGTON,MD,21034,M,N,15000,4.75,0,4800,0
Lingtao,Keohane,M,321,795-5178,CAPTIVA,FL,33924,S,N,15000,0.0,0,0,0
Royce,Tagansky,F,317,525-2037,FLOYDS KNOBS,IN,47119,S,Y,65000,3.4,1000,0,1000
Ramaswami,Wise,F,512,860-3448,MISSOURI CITY,TX,77489,M,N,15000,0.0,0,0,0
Aikira,Bamford,F,480,946-1029,PHOENIX,AZ,85079,S,Y,10000,2.87,2100,0,2300
Puneet,Chown,F,208,633-5699,GENESEE,ID,83832,S,Y,45000,7.8,3300,0,3300
Christhard,Shilcrat,M,718,931-9214,PORT EWEN,NY,12466,M,Y,15000,4.040549,0,0,1000
Zahi,Baroglio,F,774,330-2516,BOSTON,MA,2266,M,N,95000,5.3,0,7150,0
Feniosky,Akaboshi,M,769,987-8822,GEORGETOWN,MS,39078,S,Y,90000,5.0,6000,0,1500
Nobukazu,Desal,F,504,870-6692,NORCO,LA,70079,M,N,70000,6.0,0,9000,0
Mugo,Agius,M,401,139-1208,PROVIDENCE,RI,2901,S,N,65000,0.0,0,0,0
Mathis,Koblitz,M,307,252-2639,NATRONA,WY,82646,M,N,5000,0.0,0,0,0
Xuemin,Rich,F,561,520-5838,STUART,FL,34994,M,N,45000,0.0,0,0,0
Theodosios,Stanculescu,M,707,275-5509,SAN DIEGO,CA,92135,S,N,35000,7.7709284,87,0,0
Theodore,Hillebrand,M,571,635-2640,CHINCOTEAGUE ISLAND,VA,23336,S,Y,65000,5.75,900,0,900
Hussein,Ramsey,F,770,808-9183,FAYETTEVILLE,GA,30214,M,Y,40000,6.0,0,5400,3000
Cormac,Gradel,F,605,615-9997,HARRISON,SD,57344,S,N,35000,0.0,0,0,0
Mechtild,Aigrain,M,712,453-3790,BEAVER,IA,50031,S,Y,10000,1.7078737,40,0,40
Nestor,Day,M,978,460-9061,ORANGE,MA,1364,M,N,65000,5.3,0,7150,0
Pratap,Maloney,F,662,752-3853,PINOLA,MS,39149,M,Y,20000,5.0,0,12000,1500
Joydeep,Bias,F,602,848-3705,KAIBETO,AZ,86053,S,N,5000,2.87,2100,0,0
M'hamed,Quiles,M,928,233-6405,GLENDALE,AZ,85304,S,Y,75000,3.8775,2100,0,2300
Nabih,Habel,F,605,847-1442,OACOMA,SD,57365,M,N,40000,0.0,0,0,0
Fredrik,Hanata,M,401,262-2073,CENTRAL FALLS,RI,2863,S,N,25000,0.0,0,0,0
Koppolu,Guiu,F,913,307-1576,TOPEKA,KS,66611,S,Y,45000,6.45,2250,0,2250
Hana,Walinsky,M,276,448-3813,WARRENTON,VA,20187,S,Y,10000,3875,900,0,900
Kanwar,Holcombe,F,386,347-6780,MIAMI,FL,33299,S,Y,60000,0.0,0,0,0
Masaki,Venkataraman,F,479,772-5434,WILMOT,AR,71676,S,N,40000,7.0,20,0,0
Shivraj,Medvidovic,F,610,886-2499,NORTHUMBERLAND,PA,17857,M,Y,95000,3.07,0,0,0
Molly,Multari,M,505,507-2751,DEXTER,NM,88230,S,N,25000,5.3,3300,0,0
Edmundo,Thalheim,M,205,624-2917,BIRMINGHAM,AL,35228,M,Y,100000,5.0,0,3000,300
Domen,Bashandy,M,551,441-5820,NORTH BRUNSWICK,NJ,8902,M,N,70000,2.1885417,0,2000,0
Keju,Click,F,678,129-4683,EASTANOLLEE,GA,30538,M,Y,20000,6.0,0,5400,3000
Stefaan,Ullrich,M,843,985-6808,CONWAY,SC,29526,M,N,80000,7.0,0,6600,0
Tulika,Massotte,F,856,885-1737,EAST BRUNSWICK,NJ,8816,M,Y,70000,2.1885417,0,2000,1500
Souri,Muhammad,M,509,453-6972,BRINNON,WA,98320,S,N,30000,0.0,0,0,0
Berto,Kriegman,M,205,970-3645,BIRMINGHAM,AL,35240,S,N,100000,5.0,1500,0,0
Eddi,Sander,M,787,983-7454,LOIZA,PR,772,M,Y,30000,0.0,0,0,0
Shinsuke,Tourancheau,F,808,175-1614,WAKE ISLAND,HI,96898,M,Y,100000,8.25,0,2080,1040
Steffen,Jacquet,F,336,899-9741,GREENSBORO,NC,27413,M,N,100000,7.8304195,0,6600,0
Anargyros,Mallett,M,775,264-1906,LAS VEGAS,NV,89164,M,N,35000,0.0,0,0,0
Alistair,Deuel,F,270,654-9539,WASHINGTON,KY,41096,S,Y,20000,2.9444444,20,0,20
Nadir,Gille,F,573,523-8484,KANSAS CITY,MO,64172,S,Y,40000,6.0,2100,0,1200
Hilan,Lapkowski,F,803,448-8223,COLUMBIA,SC,29208,S,Y,60000,7.0,3300,0,3300
Heping,Kaarela,F,203,238-9416,NEW HAVEN,CT,6540,M,N,80000,5.0,0,24500,0
Tammy,Raje,M,435,689-6436,OGDEN,UT,84244,M,Y,100000,7.0,0,4950,2475
HweeHwa,Dharanipragada,F,563,364-7693,WALKER,IA,52352,S,N,10000,1.7078737,40,0,0
Kavi,Uhrik,M,580,303-2845,OKLAHOMA CITY,OK,73154,S,Y,40000,6.25,1000,0,1000
Tiziano,Haban,F,774,757-5533,UPTON,MA,1568,M,N,30000,5.3,0,7150,0
Willa,Ruemmler,M,336,534-5624,RALEIGH,NC,27609,M,Y,30000,6.361888,0,6600,3300
Polle,Zeidenstein,F,954,601-7062,FORT LAUDERDALE,FL,33323,S,N,85000,0.0,0,0,0
Michinori,Rela,F,207,892-4041,LEWISTON,ME,4241,S,Y,100000,8.5,2850,0,2850
Subhasish,Werling,M,601,175-3083,SLEDGE,MS,38670,S,Y,100000,5.0,6000,0,1500
Alyson,Feuerman,F,707,732-5199,POLLOCK PINES,CA,95726,M,N,95000,9.3,0,174,0
Sangchul,Dunbar,M,859,298-7683,HISEVILLE,KY,42152,M,Y,50000,4.611111,0,40,20
Nic,Meekings,F,559,732-9574,SACRAMENTO,CA,95832,M,Y,80000,9.3,0,174,272
Tuvi,Blumenrohr,F,302,179-4141,NEWARK,DE,19716,M,N,95000,5.95,0,220,0
Jiangtao,Wouk,F,939,954-9457,SAN JUAN,PR,926,S,Y,95000,0.0,0,0,0
Ren,Achilles,F,406,627-5923,WHITEHALL,MT,59759,S,Y,50000,6.9,1900,0,1900
Tassos,Herbst,M,479,662-9190,FORT SMITH,AR,72906,S,Y,95000,7.0,20,0,20
Adib,Malaveta,F,302,375-1331,FENWICK ISLAND,DE,19944,S,N,50000,5.268182,110,0,0
Adhemar,Prevel,F,931,407-3380,ATHENS,TN,37371,S,Y,20000,0.0,0,0,0
Gabriella,Nagavamsi,F,802,703-3505,NORWICH,VT,5055,S,N,50000,3.9998987,3300,0,0
Youngmok,Panagopoulos,M,207,788-7698,HARBORSIDE,ME,4642,S,Y,10000,4.5857663,2850,0,2850
Oron,Conte,F,845,164-7741,SYRACUSE,NY,13235,S,N,50000,4.243293,0,0,0
Yuehong,Picton,F,202,694-7080,WASHINGTON,DC,20552,M,Y,45000,9.0,0,2740,1370
Ergun,Zirkelbach,F,719,965-9855,BOULDER,CO,80328,M,N,40000,4.63,0,0,0
Reme,Masiero,F,815,591-8979,CLINTON,IL,61727,S,N,100000,3.0,2000,0,0
Sebastiano,Gooday,F,662,898-7892,JAYESS,MS,39641,M,Y,40000,5.0,0,12000,1500
Naseem,Colorni,M,785,697-6679,ABBYVILLE,KS,67510,S,Y,75000,6.45,2250,0,2250
Jefferson,Staggers,M,718,887-2009,WALWORTH,NY,14568,M,Y,50000,4.243293,0,0,1000
Yakichi,Wunderlin,F,205,622-2467,DEMOPOLIS,AL,36732,S,N,40000,5.0,1500,0,0
Suzette,Gustafsson,M,612,781-7163,HAMPTON,MN,55031,M,N,40000,6.3900213,0,6600,0
True,Giovanetti,F,626,259-2367,SAN DIEGO,CA,92126,S,N,25000,5.410157,87,0,0
Mihalis,Piperakis,F,217,937-9501,BREESE,IL,62230,M,N,30000,3.0,0,4000,0
Gill,Goldsby,F,703,181-1130,RICHMOND,VA,23232,S,Y,80000,5.75,900,0,900
Dammmian,Soreide,M,308,166-1977,OMAHA,NE,68172,M,Y,20000,5.685643,0,206,103
Subhas,Baranowski,M,505,925-6869,ALBUQUERQUE,NM,87195,S,N,85000,5.3,3300,0,0
Maylis,Hemaspaandra,M,662,446-2198,JACKSON,MS,39211,M,Y,20000,5.0,0,12000,1500
Aya,Kochskamper,M,207,677-5974,BLAINE,ME,4734,S,Y,95000,8.5,2850,0,2850
Palle,Krabbel,M,304,155-3860,JUNIOR,WV,26275,M,Y,10000,3.0,0,4000,2000
Satya,Ducret,M,351,814-7040,PROVINCETOWN,MA,2657,S,N,55000,5.3,3575,0,0
Hongwen,Ernst,M,208,145-9738,SUN VALLEY,ID,83353,S,N,5000,2.6903439,3300,0,0
Terilyn,Balluchi,F,360,536-5494,SELAH,WA,98942,M,Y,10000,0.0,0,0,0
Stanislav,Nerima,M,808,927-5597,SCHOFIELD BARRACKS,HI,96857,S,Y,30000,6.447368,1040,0,1040
Ilan,Gaborit,M,270,669-9957,CROMONA,KY,41810,S,N,50000,4.611111,20,0,0
Selmin,Kans,M,202,329-1561,WASHINGTON,DC,20216,M,Y,90000,9.0,0,2740,1370
Teri,Rembowski,F,405,781-8206,TULSA,OK,74171,S,N,40000,6.25,1000,0,0
Berry,Rauhe,F,641,228-8060,OSKALOOSA,IA,52577,S,Y,80000,8.98,40,0,40
Jayadev,Demizu,F,276,836-5028,GOLDVEIN,VA,22720,M,N,50000,5.75,0,1800,0
Joceli,Baldan,M,618,240-1541,SPRINGFIELD,IL,62719,S,N,10000,3.0,2000,0,0
Qui,Malitz,M,651,389-8994,AURORA,MN,55705,M,Y,15000,5.35,0,6600,3300
Taizan,McCoy,F,402,702-1782,BURR,NE,68324,M,N,65000,6.84,0,206,0
Geir,Kara,M,402,836-3044,OMAHA,NE,68179,S,N,65000,6.84,103,0,0
Djenana,Gravano,F,520,985-2017,POLACCA,AZ,86042,M,Y,90000,4.11,0,4200,2300
Carmelo,Terenzi,M,504,100-7976,NEW ORLEANS,LA,70129,S,N,15000,2.8,4500,0,0
Martien,Swartout,M,404,636-6305,HORTENSE,GA,31543,S,Y,100000,6.0,2700,0,3000
Bodh,Brazdil,M,307,357-4636,WAMSUTTER,WY,82336,S,Y,70000,0.0,0,0,0
Zhongcheng,Tarlescu,M,307,522-7907,EVANSVILLE,WY,82636,M,N,20000,0.0,0,0,0
Annegret,Wolf,M,864,789-4250,FLORENCE,SC,29501,S,Y,45000,7.0,3300,0,3300
Roded,Wavish,F,251,624-7274,SHANNON,AL,35142,S,N,35000,5.0,1500,0,0
Vram,Baudino,F,701,161-4229,SCRANTON,ND,58653,S,Y,95000,2.8569736,3300,0,3300
Seongyeol,Auletta,M,505,493-3846,ALBUQUERQUE,NM,87195,M,Y,70000,5.3,0,6600,3300
Shaoyu,Rowen,F,567,535-4739,SOMERDALE,OH,44678,M,N,25000,1.3758974,0,2600,0
Spira,Will,F,614,273-3915,NORWICH,OH,43767,M,N,30000,1.5418718,0,2600,0
Lifeng,Rivett,F,228,771-9951,MERIDIAN,MS,39307,M,N,40000,5.0,0,12000,0
Nada,Strout,F,314,398-5573,HELENA,MO,64459,M,N,50000,6.0,0,4200,0
Ornan,Tomassini,F,808,812-8815,KEALAKEKUA,HI,96750,S,Y,95000,8.25,1040,0,1040
Yingxu,Sensen,M,605,600-7109,WINFRED,SD,57076,S,Y,100000,0.0,0,0,0
Alexius,Deville,F,262,189-2425,HAWTHORNE,WI,54842,S,N,60000,5.488912,700,0,0
Saulo,Bhatt,F,502,180-7770,FLATGAP,KY,41219,S,Y,75000,6.0,20,0,20
Rachida,Morrin,F,302,447-5664,NEWARK,DE,19718,M,N,55000,5.609091,0,220,0
Phil,Erie,F,440,937-9140,POWHATAN POINT,OH,43942,M,Y,80000,3.2016153,0,2600,1300
Jaan,Simkin,F,606,410-7372,JEREMIAH,KY,41826,M,Y,30000,3.5,0,40,20
Toney,Padget,M,412,957-4247,GREELEY,PA,18425,M,Y,80000,3.07,0,0,0
Seungjoon,Kornatzky,M,605,384-3449,PRINGLE,SD,57773,S,Y,65000,0.0,0,0,0
Kent,Crames,F,580,323-2414,TULSA,OK,74132,S,Y,10000,6.25,1000,0,1000
Subhada,Tuminaro,F,913,626-7505,HOISINGTON,KS,67544,M,N,25000,5.4666667,0,4500,0
Hosam,Dedood,F,775,999-7072,RENO,NV,89503,S,Y,20000,0.0,0,0,0
Debbie,Chaturvedi,M,417,164-7458,KANSAS CITY,MO,64166,S,N,70000,6.0,2100,0,0
Hyungjeong,Hofmeyr,F,702,774-9221,RUTH,NV,89319,S,Y,50000,0.0,0,0,0
Adelinde,Torelli,F,228,646-2362,MICHIGAN CITY,MS,38647,S,N,65000,5.0,6000,0,0
Yahia,Lueh,M,603,464-4898,WARREN,NH,3279,S,N,15000,0.0,0,0,0
Munehiko,Peck,M,901,422-2209,TRIMBLE,TN,38259,M,Y,15000,0.0,0,0,0
Zhiming,Kaklamani,F,775,422-6400,SMITH,NV,89430,M,Y,30000,0.0,0,0,0
Zhenyi,Galdes,F,607,355-2344,REMSENBURG,NY,11960,S,Y,45000,4.2143292,0,0,1000
Rajamani,Salverda,M,413,994-5750,OAK BLUFFS,MA,2557,M,N,80000,5.3,0,7150,0
Sreerama,Durer,M,717,205-4454,WILLIAMSPORT,PA,17702,S,Y,65000,3.07,0,0,0
Werasak,Jungmann,F,515,734-9027,SHENANDOAH,IA,51601,M,Y,70000,8.98,0,80,40
Yousri,Campr,M,504,725-7269,FENTON,LA,70640,M,N,80000,6.0,0,9000,0
Mingsheng,Cedeno,M,207,625-4782,WATERFORD,ME,4088,S,Y,30000,8.5,2850,0,2850
Isabella,Lavrac,F,360,131-3926,VANCOUVER,WA,98662,S,N,50000,0.0,0,0,0
Soraja,Manacher,F,808,853-5536,SCHOFIELD BARRACKS,HI,96857,S,N,65000,8.25,1040,0,0
Michaela,Pols,F,302,558-7430,HARRINGTON,DE,19952,S,N,20000,3.2227273,110,0,0
Brig,Mitter,M,435,571-4980,SALT LAKE CITY,UT,84123,M,N,60000,7.0,0,4950,0
Jengwei,Bidwell,F,207,893-2215,WEST FORKS,ME,4985,M,Y,50000,8.5,0,5700,2850
Yehea,Priebe,F,240,940-8866,SILVER SPRING,MD,20905,M,Y,65000,4.75,0,4800,2400
Berend,Vauttier,F,505,644-1913,LAS CRUCES,NM,88013,M,N,20000,5.3,0,6600,0
Lily,Hallowell,F,787,991-5668,VIEQUES,PR,765,S,N,10000,0.0,0,0,0
Ned,Nemani,M,808,887-2712,LANAI CITY,HI,96763,S,N,40000,8.25,1040,0,0
Healfdene,Kohlhase,M,775,973-4931,SILVERPEAK,NV,89047,S,N,65000,0.0,0,0,0
Radha,Mahalanabis,M,712,794-8944,SIOUX CENTER,IA,51250,S,N,55000,8.65488,40,0,0
Deepak,Dimitriev,F,336,550-4466,IRON STATION,NC,28080,M,Y,50000,6.7814684,0,6600,3300
Agha,Kadhim,M,810,654-6473,FLINT,MI,48555,M,N,90000,3.9,0,6200,0
Youfeng,Bod,M,406,396-6238,HELENA,MT,59604,M,Y,30000,6.9,0,3800,1900
Juhani,Stanfel,M,228,485-2893,COLUMBUS,MS,39704,S,N,30000,5.0,6000,0,0
Weijing,Tabet,M,870,383-5244,RATCLIFF,AR,72951,S,N,85000,7.0,20,0,0
Pranjal,Tolga,F,731,142-6226,RIDDLETON,TN,37151,M,Y,75000,0.0,0,0,0
Kwangsub,Kartik,M,510,718-3284,ELDRIDGE,CA,95431,M,N,100000,9.3,0,174,0
Djenana,Peuto,F,330,807-6218,COLUMBUS,OH,43216,S,N,35000,1.7078462,1300,0,0
Bharadwaj,Nitzan,M,316,100-3309,TOWANDA,KS,67144,M,N,20000,4.483333,0,4500,0
Juichirou,Thielscher,M,636,103-6038,SMITHVILLE,MO,64089,S,Y,40000,6.0,2100,0,1200
Gaetan,McDonnell,M,971,137-3613,CRABTREE,OR,97335,S,Y,45000,9.0,159,0,159
Kanti,Borgstrom,M,505,263-4266,GARFIELD,NM,87936,S,Y,15000,4.957143,3300,0,3300
Zvi,Meuser,M,603,494-7925,DOVER,NH,3822,M,Y,85000,0.0,0,0,0
Zoubir,Miculan,M,307,898-8197,NEWCASTLE,WY,82701,M,N,75000,0.0,0,0,0
Ernestina,Bishr,M,402,509-8755,PAGE,NE,68766,M,Y,70000,6.84,0,206,103
Laxmikant,Crosby,M,215,602-7181,MILL CREEK,PA,17060,S,Y,35000,3.07,0,0,0
Hatsukazu,Chouraqui,M,765,892-9282,CICERO,IN,46034,M,N,35000,3.4,0,2000,0
Cornelia,Bednarek,F,503,289-4305,OREGON CITY,OR,97045,S,Y,40000,9.0,159,0,159
Devika,Bitter,M,251,697-8297,FLORENCE,AL,35630,S,Y,35000,5.0,1500,0,300
Kazuho,Basermann,F,302,370-1027,FENWICK ISLAND,DE,19944,S,Y,70000,5.95,110,0,110
Peter,Kriegel,M,262,677-9606,ELROY,WI,53929,S,Y,85000,5.9232907,700,0,400
Sidhar,Vetterli,F,319,464-2970,VENTURA,IA,50482,S,Y,90000,8.98,40,0,40
Jim,Hadon,M,201,121-4882,HASKELL,NJ,7420,M,N,85000,2.4251041,0,2000,0
Camino,Reed,M,307,159-4606,BASIN,WY,82410,M,N,70000,0.0,0,0,0
Bian,Fischetti,F,316,912-3038,REXFORD,KS,67753,M,Y,75000,6.45,0,4500,2250
Haim,Isenberg,F,804,523-8195,RADFORD,VA,24142,M,N,25000,5.75,0,1800,0
Jianxun,Feeley,F,734,382-3683,TWIN LAKE,MI,49457,S,Y,30000,3.9,3100,0,3100
Vasilis,Grana,M,712,335-3902,DUBUQUE,IA,52099,M,N,75000,8.98,0,80,0
Bella,Dunki,F,312,909-4692,ELLERY,IL,62833,S,N,80000,3.0,2000,0,0
Ronan,Marchok,M,318,572-5239,SHREVEPORT,LA,71129,M,Y,25000,6.0,0,9000,1000
